Fstat_Species	Anova_Species	AnovaAdj_Species
ADAM10	26.0838501421458	4.01994843429515e-07	0.0054192924842733
ADAM11	7.69380809234727	0.00217315840410665	1
ADAM12	9.2178858998023	0.000839991870751087	1
ADAM15	8.32453470196132	0.00145491853622087	1
ADAM17	3.10370014932562	0.0606082104673744	1
ADAM18	2.30922456569176	0.117957652791484	1
ADAM19	18.4258405941894	7.82195102229685e-06	0.105447721731584
ADAM2	6.06202936253602	0.0064944807765164	1
ADAM20	44.9426943966878	1.81874878635491e-09	2.45185523888506e-05
ADAM22	2.01642801370712	0.152010355181358	1
ADAM23	5.74256404229145	0.00813097681591784	1
ADAM28	3.04761891550582	0.0634600339164626	1
ADAM33	16.0381313493178	2.28229474961609e-05	0.307676155195745
ADAM7	0.684663576462252	0.51250308105389	1
ADAM8	38.6955254795482	8.72891258622172e-09	0.000117674470574855
ADAM9	29.7093417482697	1.19605946742778e-07	0.00161240776803939
ADAMDEC1	6.06202936253602	0.0064944807765164	1
ADAMTS12	1.38789352246805	0.266246608446182	1
ADAMTS13	19.6352154938282	4.68461060285681e-06	0.0631532355371127
ADAMTS14	40.7847483588231	5.06473938965145e-09	6.82777517118912e-05
ADAMTS15	20.0788604248408	3.89943428811464e-06	0.0525682736380735
ADAMTS16	2.10746310129183	0.140414664774298	1
ADAMTS17	1.83474575989344	0.178335240693698	1
ADAMTS18	14.7116870491725	4.29507287080087e-05	0.579018773712665
ADAMTS2	4.6757633759375	0.0176968276473839	1
ADAMTS20	2.73489830238009	0.082237408168754	1
ADAMTS3	0.867325936140599	0.43105473854577	1
ADAMTS4	11.34438636319	0.000246290449556394	1
ADAMTS5	3.03614737224253	0.0640609040322942	1
ADAMTS6	3.36202113298862	0.0491347298293695	1
ADAMTS8	5.7763333670477	0.00793874146950815	1
ADAMTS9	31.3366065861797	7.16978866018668e-08	0.000966559209279766
ADAMTSL1	0.971924522283471	0.390756033810818	1
ADAMTSL2	7.54575853849715	0.00239181431826153	1
ADAMTSL3	48.8535394974517	7.39905318490116e-10	9.97466359856525e-06
ADAMTSL4	7.3161860343689	0.00277881397150664	1
ADAMTSL5	11.1813929946684	0.000269572748517795	1
ADAP1	2.83235879067609	0.0758163342757891	1
ADAP2	9.55400934188331	0.000686886052547861	1
ADAR	13.3728222558085	8.3814356812272e-05	1
ADARB1	9.29070756709279	0.000803960930696072	1
ADARB2	6.90717369984109	0.00364466751050915	1
ADAT1	0.899362885889261	0.418258455392335	1
ADAT2	22.2747034312385	1.62681554118058e-06	0.0219311003106555
ADCK1	19.6535384786793	4.64902857571536e-06	0.0626735542292188
ADCK2	3.32146632832354	0.0507700211753976	1
ADCK5	2.48672478211663	0.10137037774371	1
ADCY1	9.56457803019692	0.000682585655960191	1
ADCY10	101.033675910256	1.56402081454107e-13	2.10845646008282e-09
ADCY2	28.7686679338309	1.6219309586573e-07	0.00218652512536591
ADCY3	84.0465957785621	1.46466137343938e-12	1.97450999753363e-08
ADCY4	0.19911326082418	0.820607292110764	1
ADCY5	16.8205964862096	1.59227451972084e-05	0.214654528003567
ADCY6	0.376189447753329	0.6898894099217	1
ADCY7	0.0314367083290991	0.969086439867842	1
ADCY8	0.283402064695326	0.755351751315643	1
ADCY9	0.917133748613355	0.411336385987704	1
ADCYAP1R1	0.444104054910283	0.645838575753427	1
ADD1	97.7040920568766	2.35952910413148e-13	3.18088118527965e-09
ADD2	3.24011763086966	0.0542287199627542	1
ADD3	22.6303733140331	1.41910219905376e-06	0.0191309167454438
ADGB	0.359798766790323	0.70099600825148	1
ADH1A	0.415689022304555	0.663891072510807	1
ADH1B	1.41712301372102	0.259266122246356	1
ADH4	0.328513189009829	0.722731045477208	1
ADH5	2.79756371529239	0.0780448661479742	1
ADH6	0.518576307212564	0.600974518953619	1
ADH7	6.06202936253602	0.0064944807765164	1
ADHFE1	42.4135091573131	3.36069331728971e-09	4.53055066103825e-05
ADI1	129.068544544024	7.38200394510236e-15	9.95167951839249e-11
ADIPOQ	2.90643762297132	0.0712956460222487	1
ADIPOR1	11.2082614035024	0.000265577933614802	1
ADIPOR2	3.33426773123703	0.0502476203275233	1
ADK	10.7615876803326	0.000341109388366106	1
ADM	1.99060477249811	0.155483407366803	1
ADNP	15.5095190428734	2.92632570232104e-05	0.3944979679299
ADNP2	54.0485542697268	2.4340408366175e-10	3.28133045184405e-06
ADO	15.7357569582807	2.62958080708198e-05	0.354493788602722
ADORA1	40.126699434414	5.99833705537136e-09	8.08635818434613e-05
ADORA2A	0.595506341461165	0.558115618478432	1
ADPGK	3.72339087965861	0.0368245187189509	1
ADPRHL2	6.43465585628812	0.00501937804143391	1
ADRA1A	1.69099596959013	0.202621416714095	1
ADRA2A	15.0715595356596	3.60774538222507e-05	0.486360154977762
ADRA2B	3.91138863163362	0.0317674898936074	1
ADRB1	1.68976644424237	0.202843827385483	1
ADRB2	2.73141370734472	0.0824775153428324	1
ADRB3	6.06202936253602	0.0064944807765164	1
ADRM1	1.34736404231257	0.276260868312945	1
ADSL	12.5551456659095	0.000128147715048311	1
ADSSL1	5.97011146203871	0.00692573157565621	1
ADTRP	2.28461080950431	0.120478382360886	1
AEBP2	28.6827222426982	1.66825699722346e-07	0.00224897725795694
AEN	0.105473421887467	0.900254212227352	1
AFAP1	3.87228915135829	0.0327544226804158	1
AFAP1L1	34.8799497137591	2.50012655665812e-08	0.000337042061103082
AFAP1L2	12.9400588386321	0.000104764209587749	1
AFF1	11.2230734258836	0.000263402832863674	1
AFF4	2.07746340884402	0.144127575766199	1
AFM	0.098649553515286	0.906373672698366	1
AFMID	5.76508808421418	0.00800220994932427	1
AFP	0.277774795293627	0.759530318350904	1
AFTPH	38.4013868748517	9.44046878925412e-09	0.000127266959747935
AGA	1.28803315467318	0.29165530279208	1
AGAP2	4.21531913625208	0.0251002192719109	1
AGBL1	2.75247361942127	0.0810377363987118	1
AGBL2	11.3669909338221	0.000243235605151729	1
AGBL3	14.273645743328	5.32656374895656e-05	0.718074058996834
AGBL4	1.66365065770587	0.20763026532796	1
AGER	1.76600676374571	0.189534633537079	1
AGFG1	1.39967818145817	0.26340830718227	1
AGFG2	9.69101791848762	0.000633315916110732	1
AGGF1	10.1741162048287	0.00047740176851982	1
AGK	0.769253641368071	0.472903811189822	1
AGL	13.4766413188042	7.94879829767987e-05	1
AGMAT	0.545515623389681	0.585578069376266	1
AGMO	1.92267024584217	0.165032654195447	1
AGO1	28.4635358225788	1.79294243275298e-07	0.0024170656935943
AGO2	9.26454632683598	0.000816710743049724	1
AGO3	13.7770989420039	6.82615426351081e-05	0.920233856263892
AGO4	1.8804800144188	0.17127806244518	1
AGPAT1	5.37199544492278	0.010601113491222	1
AGPAT2	4.65837778805326	0.0179290858919004	1
AGPAT3	25.5855270722862	4.78941481925075e-07	0.00645661011783194
AGPAT4	25.941053650502	4.22590038484155e-07	0.00569693630880489
AGPAT5	21.2115501519422	2.46717793055026e-06	0.0332600256817481
AGPS	15.8092938205455	2.54020561037315e-05	0.342445118334404
AGR2	0.387409681272208	0.682395187177003	1
AGR3	6.06202936253602	0.0064944807765164	1
AGRN	142.553206505456	2.0918231186693e-15	2.81998674627808e-11
AGT	13.3958925283369	8.28316181762577e-05	1
AGTPBP1	7.56720756453046	0.00235872682952119	1
AGTR1	3.74135563474542	0.0363059058041722	1
AGTRAP	63.8808146126145	3.67930425604224e-11	4.96007006757055e-07
AGXT	5.31763022081806	0.0110265238253324	1
AGXT2	0.28739163245229	0.752404195245098	1
AHCTF1	29.347167773027	1.34382379105403e-07	0.00181160885271993
AHCYL1	0.0430228126482916	0.957952732529645	1
AHCYL2	4.71396072076311	0.0171977847615271	1
AHDC1	7.17484566002218	0.00305006398593557	1
AHI1	133.325544101909	4.89665772071277e-15	6.60118427329289e-11
AHNAK	41.6027817388183	4.11567647735927e-09	5.54834345912804e-05
AHR	45.2824696285678	1.67812564700273e-09	2.26228118472438e-05
AHRR	4.49854695342905	0.0202239448380473	1
AHSA1	1.54365575792946	0.231232101889373	1
AHSG	0.337049804278249	0.716729672986488	1
AHSP	6.06202936253602	0.0064944807765164	1
