Fstat_Species	Anova_Species	AnovaAdj_Species
ADNP2	25.2822643712986	5.5040231621838e-08	0.000460796819138028
ADO	1.48673843123973	0.237500089661164	1
ADORA1	28.0743009773477	1.58274156058699e-08	0.000132507123452343
ADPGK	2.48867206017896	0.09490594737996	1
ADRA1A	39.9333603664138	1.57302291284596e-10	1.31693478263464e-06
ADRA2A	7.01774518227225	0.00230383000442475	1
ADRB1	12.5643162365495	5.04642538766602e-05	0.422486733455399
ADRM1	0.888576943532454	0.418656033264875	1
ADSL	36.0477853200843	6.40931578465710e-10	5.36587917491492e-06
ADSSL1	9.08523915013002	0.000511589301854422	1
ADTRP	113.824963174442	6.64969399159173e-18	5.5671238097606e-14
AEBP2	26.9915882658504	2.54448031321804e-08	0.000213023891822615
AEN	13.9234035070204	2.17613450369212e-05	0.182185980649104
AFAP1	4.11670469762555	0.023130059919459	1
AFAP1L1	60.1450932914898	3.47480118858515e-13	2.90910355508349e-09
AFAP1L2	105.986736916271	2.39844229705283e-17	2.00797589109263e-13
AFF1	2.1705801273453	0.126454851854581	1
AFF4	21.3668954570616	3.6041528793915e-07	0.00301739679062657
AFMID	78.6965493509679	4.2568900810803e-15	3.56386837588042e-11
AFTPH	22.4823398251888	2.07464024538746e-07	0.00173688881343838
AGAP2	72.3044857241512	1.75638347269741e-14	1.47044424334227e-10
AGBL3	27.9130349933369	1.69759467631814e-08	0.000142122626301355
AGBL4	15.3389859660008	9.37156328528374e-06	0.0784587278243955
AGER	5.28073261475977	0.0088970112507855	1
AGFG1	19.6993573394608	8.45828653841674e-07	0.0070812774899625
AGFG2	24.457889409713	8.06650225769391e-08	0.000675327569014134
AGGF1	13.7038795565453	2.48731374141989e-05	0.208237906431673
AGK	4.38158258629306	0.0185406122403956	1
AGL	11.0734153358363	0.000132088803042664	1
AGO1	13.8915551332641	2.21862801525847e-05	0.185743537437439
AGO2	0.77928428369241	0.465104276735163	1
AGO3	61.2195617604796	2.62331264482184e-13	2.19623734624484e-09
AGO4	6.55887095262371	0.00326525999203148	1
AGPAT1	9.61718372718832	0.000353118751182173	1
AGPAT3	10.8478071922899	0.000153377870014393	1
AGPAT4	49.1309556252201	7.83488489303317e-12	6.55936563244737e-08
AGPAT5	11.2107039844679	0.000120668588772544	1
AGPS	2.13011810664206	0.131192861180887	1
AGRN	98.335322316841	9.07512570146778e-17	7.59769523726883e-13
AGTPBP1	23.7393584029902	1.13194022231615e-07	0.00094766035412308
AHCTF1	49.4549144736714	7.10073898411024e-12	5.94473867749709e-08
AHCYL1	16.6355006248908	4.45495858178846e-06	0.037296913246733
AHCYL2	5.02612121366865	0.0109254986204488	1
AHDC1	82.2599272653451	2.00811799265143e-15	1.68119638344778e-11
AHI1	90.4879749341076	3.89261966827497e-16	3.25890118627981e-12
AHNAK	1.73000865593072	0.189393643176766	1
AHR	15.537718807248	8.34787504084466e-06	0.0698884098419515
AHRR	133.149464541347	3.77082036961846e-19	3.15693081344457e-15
AHSA1	3.55279358816326	0.0373266868393024	1
AIDA	27.8001545348963	1.78315401236564e-08	0.000149285653915251
AIFM2	163.010395919875	8.47186081116222e-21	7.09264187110501e-17
AIFM3	6.96063015001052	0.00240530352867143	1
AIG1	25.507991479699	4.9628990031083e-08	0.000415493904540227
AIMP1	64.8685973462559	1.03699283780976e-13	8.68170403814332e-10
AIMP2	0.26996375202426	0.764691408605514	1
AIP	0.308668516723989	0.736037823366185	1
AIRE	120.321063747915	2.42661573669754e-18	2.03156269476318e-14
AK1	22.7732585849764	1.80046588709397e-07	0.00150735004067507
AK2	22.1729056727654	2.41472125058201e-07	0.00202160463098726
AK3	16.7369308846969	4.20767151941809e-06	0.0352266259605683
AK5	25.604446560636	4.74893164917754e-08	0.000397580557669143
AK9	133.623578256238	3.53064363818141e-19	2.95585485388548e-15
AKAP1	86.6851963837111	8.18122574130481e-16	6.84932219062039e-12
AKAP10	18.8018840656951	1.35810039861838e-06	0.011370016537233
AKAP11	3.51238754114582	0.0386448107262588	1
AKAP12	11.1817715521079	0.000122986291174428	1
AKAP13	63.2034382998305	1.5759939118683e-13	1.31942210301614e-09
AKAP5	0.366311994211782	0.695428954451773	1
AKAP6	52.6949925927319	2.71877381377998e-12	2.2761574368966e-08
AKAP7	5.98246778301553	0.00510186245902137	1
AKAP8	9.8768556032737	0.000295341432962996	1
AKAP9	2.28607399310796	0.113890481500406	1
AKIRIN1	9.29687474559513	0.000441096878029394	1
AKIRIN2	3.49028122896804	0.0393864921155798	1
AKNA	1.34237163868618	0.271951360959786	1
AKT1	7.35936134089734	0.00178345639825682	1
AKT2	38.4257966227179	2.68367452427308e-10	2.24677231172142e-06
AKT3	22.4107991375957	2.14853809168508e-07	0.00179875609035875
AKTIP	15.8661004991401	6.90485672000997e-06	0.0578074604599234
ALAD	6.16856513925674	0.0044127993205617	1
ALAS1	13.9695241848179	2.1161019785923e-05	0.177160057647748
ALCAM	2.68752676030781	0.0794713218744986	1
ALDH16A1	11.1352536247527	0.000126810891781298	1
ALDH18A1	2.85961989794818	0.0682355944750904	1
ALDH1A2	30.8062277943038	4.9949226854259e-09	4.18174927223857e-05
ALDH1L1	3.45874035882305	0.0404705987591514	1
ALDH1L2	150.405796381279	3.87865091930607e-20	3.24720654964305e-16
ALDH2	4.11383601575604	0.0231858197720086	1
ALDH3A2	0.570313769997639	0.56956589586063	1
ALDH5A1	15.1604796930775	1.04031966342971e-05	0.0870955622223352
ALDH6A1	28.1113212755106	1.55754221610612e-08	0.000130397434332404
